Status,Server,Name,Model,Processor,Proc. Count,Memory,Serial Number,iLO,iLO FW,ROM Version,Appliance Name
OK,"SBICDCENCL41, bay 9",SCCPPBLRAPP461,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,2,131072,SGH126YY1C,"1. fe80:0:0:0:b67a:f1ff:febf:baa4, 2. 172.16.43.216",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL40, bay 9",,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4214R CPU @ 2.40GHz,2,262144,SGH126YY81,"1. fe80:0:0:0:b67a:f1ff:feb9:583a, 2. 172.16.43.213",2.44 Apr 30 2021,I42 v2.42 (01/23/2021),DC-Synergy1
OK,"SBICDCENCL30, bay 9",sccppblresx307.sbicmpc.internal,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,393216,SGH951Y5MV,"1. fe80:0:0:0:af1:eaff:fe82:d3d0, 2. 172.16.43.91",2.60 Dec 06 2021,I42 v2.58 (11/24/2021),DC-Synergy1
OK,"SBICDCENCL39, bay 9",sccppblresx236.sbicmpc.internal,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,262144,SGH111TRD7,"1. fe80:0:0:0:b67a:f1ff:feb2:1202, 2. 172.16.43.193",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL37, bay 9",sccppblresx182.sbicmpc.intenal,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,262144,SGH111TRDT,"1. fe80:0:0:0:b67a:f1ff:feb2:d1e2, 2. 172.16.43.169",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL13, bay 9",,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4215 CPU @ 2.50GHz,2,262144,SGH126YY9H,"1. fe80:0:0:0:b67a:f1ff:fec0:e4f8, 2. 172.16.43.19",2.55 Oct 01 2021,I42 v2.54 (09/03/2021),DC-Synergy1
OK,"SBICDCENCL12, bay 9",sccppblresx174.sbicmpc.internal,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,393216,SGH110T2YC,"1. fe80:0:0:0:b67a:f1ff:fe59:9450, 2. 172.16.43.18",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL38, bay 9",sccppblresx218.sbicmpc.internal,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,262144,SGH111TQC0,"1. fe80:0:0:0:b67a:f1ff:feb2:d1f6, 2. 172.16.43.190",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL29, bay 9",SCCPTBLRESX510.sbicmpc.internal,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,393216,SGH951Y5MX,"1. fe80:0:0:0:af1:eaff:fe82:d300, 2. 172.16.43.97",2.60 Dec 06 2021,I42 v2.58 (11/24/2021),DC-Synergy1
OK,"SBICDCENCL37, bay 10",,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4215 CPU @ 2.50GHz,2,65536,SGH126YY97,"1. fe80:0:0:0:b67a:f1ff:fec0:5b0, 2. 172.16.43.171",2.44 Apr 30 2021,I42 v2.42 (01/23/2021),DC-Synergy1
OK,"SBICDCENCL52, bay 10",sccppblresx302.sbicmpc.internal,Synergy 480 Gen10,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,2,393216,SGH010TH22,"1. fe80:0:0:0:9640:c9ff:fe2a:2088, 2. 172.16.43.78",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL40, bay 10",SCCPPBLRAPP056,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,524288,SGH110T30R,"1. fe80:0:0:0:b67a:f1ff:feb2:f1e2, 2. 172.16.43.215",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL22, bay 10",sccppblresx172.sbicmpc.internal,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,262144,SGH111TRDP,"1. fe80:0:0:0:b67a:f1ff:fe59:b43a, 2. 172.16.43.44",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL12, bay 10",sccppblresx267.sbicmpc.internal,Synergy 480 Gen10 Plus,Intel(R) Xeon(R) Silver 4316 CPU @ 2.30GHz,2,393216,SGH210S1SB,"1. fe80:0:0:0:5eba:2cff:fe43:1780, 2. 172.16.43.20",2.71 Jul 04 2022,I44 v1.60 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL32, bay 10",SCCPPBLRESX137,Synergy 480 Gen10,Intel(R) Xeon(R) Gold 5218 CPU @ 2.30GHz,2,262144,SGH942WLYH,"1. fe80:0:0:0:af1:eaff:fe80:4d6, 2. 172.16.43.129",2.72 Sep 04 2022,I42 v2.68 (07/14/2022),DC-Synergy1
OK,"SBICDCENCL34, bay 10",SCCPPBLRESX177.SBICMPC.INTERNAL,Synergy 480 Gen10,Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,2,458752,SGH034YM25,"1. fe80:0:0:0:9640:c9ff:fe40:d96, 2. 172.16.43.245",2.71 Jul 04 2022,I42 v2.66 (06/01/2022),DC-Synergy1
OK,"SBICDCENCL31, bay 10",,Synergy 480 Gen10,Intel(R) Xeon(R) Silver 4216 CPU @ 2.10GHz,2,262144,SGH107XK61,"1. fe80:0:0:0:9640:c9ff:fe40:dc2a, 2. 172.16.43.118",2.60 Dec 06 2021,I42 v2.58 (11/24/2021),DC-Synergy1
